ano,estado,tipo,tipo2,quantidade
2000,RIO DE JANEIRO,Cédulas - 1a. família,50,22567
2000,RIO DE JANEIRO,Cédulas - 1a. família,100,371
2000,RIO GRANDE DO NORTE,Cédulas - 1a. família,1,2
2000,RIO GRANDE DO NORTE,Cédulas - 1a. família,5,101
2000,RIO GRANDE DO NORTE,Cédulas - 1a. família,10,600
2000,RIO GRANDE DO NORTE,Cédulas - 1a. família,50,301
2000,RIO GRANDE DO NORTE,Cédulas - 1a. família,100,23
2000,RIO GRANDE DO SUL,Cédulas - 1a. família,1,44
2000,RIO GRANDE DO SUL,Cédulas - 1a. família,5,581
2000,RIO GRANDE DO SUL,Cédulas - 1a. família,10,11648
2000,RIO GRANDE DO SUL,Cédulas - 1a. família,50,4595
2000,RIO GRANDE DO SUL,Cédulas - 1a. família,100,541
2000,RONDÔNIA,Cédulas - 1a. família,5,29
2000,RONDÔNIA,Cédulas - 1a. família,10,76
2000,RONDÔNIA,Cédulas - 1a. família,50,555
2000,RONDÔNIA,Cédulas - 1a. família,100,22
2000,RORAIMA,Cédulas - 1a. família,10,20
2000,RORAIMA,Cédulas - 1a. família,50,105
2000,RORAIMA,Cédulas - 1a. família,100,51
2000,SANTA CATARINA,Cédulas - 1a. família,1,3
2000,SANTA CATARINA,Cédulas - 1a. família,5,83
2000,SANTA CATARINA,Cédulas - 1a. família,10,1743
2000,SANTA CATARINA,Cédulas - 1a. família,50,2374
2000,SANTA CATARINA,Cédulas - 1a. família,100,111
2000,SÃO PAULO,Cédulas - 1a. família,1,50
2000,SÃO PAULO,Cédulas - 1a. família,5,5456
2000,SÃO PAULO,Cédulas - 1a. família,10,98564
2000,SÃO PAULO,Cédulas - em polímero,10,85
2000,SÃO PAULO,Cédulas - 1a. família,50,55283
2000,SÃO PAULO,Cédulas - 1a. família,100,1519
2000,SERGIPE,Cédulas - 1a. família,1,1
2000,SERGIPE,Cédulas - 1a. família,5,66
2000,SERGIPE,Cédulas - 1a. família,10,923
2000,SERGIPE,Cédulas - 1a. família,50,555
2000,SERGIPE,Cédulas - 1a. família,100,17
2000,TOCANTINS,Cédulas - 1a. família,5,33
2000,TOCANTINS,Cédulas - 1a. família,10,316
2000,TOCANTINS,Cédulas - 1a. família,50,132
2000,TOCANTINS,Cédulas - 1a. família,100,14
2001,ACRE,Cédulas - 1a. família,5,3
2001,ACRE,Cédulas - 1a. família,10,154
2001,ACRE,Cédulas - 1a. família,50,448
2001,ACRE,Cédulas - 1a. família,100,1
2001,ALAGOAS,Cédulas - 1a. família,1,5
2001,ALAGOAS,Cédulas - 1a. família,5,264
2001,ALAGOAS,Cédulas - 1a. família,10,1234
2001,ALAGOAS,Cédulas - em polímero,10,47
2001,ALAGOAS,Cédulas - 1a. família,50,714
2001,ALAGOAS,Cédulas - 1a. família,100,12
2001,AMAPÁ,Cédulas - 1a. família,5,3
2001,AMAPÁ,Cédulas - 1a. família,10,89
2001,AMAPÁ,Cédulas - 1a. família,50,145
2001,AMAPÁ,Cédulas - 1a. família,100,2
2001,AMAZONAS,Cédulas - 1a. família,1,7
2001,AMAZONAS,Cédulas - 1a. família,5,54
2001,AMAZONAS,Cédulas - 1a. família,10,345
2001,AMAZONAS,Cédulas - em polímero,10,23
2001,AMAZONAS,Cédulas - 1a. família,50,185
2001,AMAZONAS,Cédulas - 1a. família,100,89
2001,BAHIA,Cédulas - 1a. família,1,10
2001,BAHIA,Cédulas - 1a. família,5,748
2001,BAHIA,Cédulas - 1a. família,10,6517
2001,BAHIA,Cédulas - em polímero,10,657
2001,BAHIA,Cédulas - 1a. família,50,4943
2001,BAHIA,Cédulas - 1a. família,100,44
